    LRGN[body]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -3,            3,      18.8667,  1.73993e+007,  4.67435e+007,            345188,          -65144.1, 1.77445e+007, 4.66783e+007,       196645,       517290
                3,            3,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

    LRGN[rwing]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -3,            3,      2.54001,       -967349,       -312106,          -9697.67,           970.251,      -977047,      -311135,     -10827.6,     -3448.01
                3,            3,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

    LRGN[fwing]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -3,            3,      1.54154,        388673,  2.44908e+006,           8952.31,           -808.13,       397626, 2.44827e+006,      4406.49,      27131.8
                3,            3,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

