    LRGN[rwing]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -5,            5,      2.36372,       115.307,       289.932,           2.55233,         -0.506068,      117.859,      289.426,     0.367872,     0.903383
                5,            5,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

    LRGN[fwing]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -5,            5,       1.5318,       30.5964,       238.935,           1.75363,         -0.154803,        32.35,       238.78,     0.100974,     0.745302
                5,            5,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

    LRGN[body]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -5,            5,      11.1282,       293.589,       49.5821,           5.41052,         -0.177426,      298.999,      49.4046,     0.933263,     0.154206
                5,            5,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

