    LRGN[rwing]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -5,            5,      2.36372,       28.8299,       72.4306,          0.731564,         -0.145224,      29.5615,      72.2854,     0.369079,     0.902494
                5,            5,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

    LRGN[fwing]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -5,            5,       1.5318,       7.52815,       58.8004,          0.493792,        -0.0434223,      8.02194,      58.7569,     0.100155,      0.73359
                5,            5,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

    LRGN[body]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -5,            5,      11.1282,        73.164,       12.9211,           1.53407,        -0.0487975,      74.6981,      12.8723,     0.932617,     0.160713
                5,            5,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

